id1,id2
6860,34
51943,58371
9815,11770
48891,6386
587,546
16563,12106
6120,2350
70369,30046
27681,1826
149,1692
9012,53285
21303,22198
49557,7082
27229,7617
2485,27170
47631,5952
5898,23
2466,9778
6350,12924
73577,42815
368,9099
22156,13961
33716,39211
22020,984
55668,10302
19371,631
5599,13499
27471,49238
17063,63807
65506,19259
74,9570
33630,2780
26728,1660
37876,8930
8089,90
73150,40711
53166,27387
55202,10114
14132,31895
72915,40635
5219,4575
3389,18104
32522,16364
5211,43806
49653,7159
75166,53454
57423,11354
42683,30104
8820,52840
71269,32875
15050,1238
24487,1348
23969,42792
44254,5196
1540,34
50950,37549
59365,12813
74604,48800
42773,21152
3707,377
34702,3124
1712,5054
63823,17110
38314,3699
67135,22063
47952,6114
68638,25442
75911,60084
4580,40428
8608,23836
75723,58262
20681,11379
8870,10506
32694,2563
27515,1804
19367,25239
61557,14788
18172,50469
58756,12284
77128,74470
40602,4664
16987,5795
27110,9879
36468,3131
6060,11809
36961,6019
40503,4997
62023,15086
45636,22444
61770,14988
3282,35436
57368,75612
38975,3967
58636,12174
274,3350
14844,13597
23026,32943
45347,21542
10637,23504
16841,1211
27732,1829
2508,21393
16534,368
35603,3034
37811,3477
53904,15803
76085,62075
45752,5199
55901,20681
5351,28597
74185,46083
44777,5289
10740,9011
14903,6234
42734,4893
25069,3675
10953,988
37813,27781
52979,40794
59677,12992
35854,3057
12679,6057
73462,42166
58072,11800
31167,213
8618,6379
48391,6219
1612,5172
34361,5827
34142,71620
477,3212
56846,11010
22828,20484
29585,2184
39332,5642
74514,48190
239,14827
40367,4554
47922,6097
17361,408
21187,4728
10731,263
53147,38777
61533,14774
18925,5067
42172,73464
53310,9014
18681,551
48125,6139
54353,9637
19391,631
15446,3934
45674,5511
51114,7969
18707,4226
20384,74016
72693,38389
44170,11339
51938,8369
448,5524
11097,5676
50703,56261
69180,26688
71744,34572
70662,30957
76349,64865
17272,22585
51845,8334
43015,4926
57446,11371
3007,10530
25899,68858
20412,779
69270,26887
50626,7430
21300,21280
8022,11624
25082,10805
17137,8757
5644,5016
26865,1689
47302,5867
54951,75362
10117,11319
24418,1603
73371,41690
2734,15
13822,1062
4153,10611
61411,14637
40556,4656
34134,2813
56779,10956
12961,45434
6269,34525
39721,4265
62329,15444
7540,209
7441,5139
9467,74
11193,4755
9531,13109
1200,23350
25749,8198
55274,10130
11413,13696
12656,20982
41513,4730
22532,29464
3025,8318
11108,8628
35100,7860
52866,8845
28387,2286
56308,10640
18864,16788
31299,21264
5845,6248
19068,23955
51379,8164
41263,4699
62567,24346
73539,42598
2481,19446
14715,7851
7851,2358
45494,5457
12895,10925
70476,30452
2348,30380
7769,17404
75041,52402
62678,15772
42841,9155
32006,5104
3345,377
35146,7998
45895,5547
72312,36961
3029,35572
67889,23632
6714,34
4988,10501
30617,4734
37452,3401
74018,45017
30159,2297
56884,8917
6990,34
20961,20507
465,11751
46908,5755
21819,66574
9813,22606
65701,19437
47421,5900
19949,712
14988,4891
6636,5999
2257,32
45725,546
23800,30048
13225,10185
16959,48539
8962,59
2091,2485
7704,11814
8050,2242
2275,796
15057,7384
8256,17150
70368,30046
8132,47
49208,22414
50577,7752
50765,7836
67787,23435
26549,1633
63151,76201
36464,4772
2295,2481
31175,12004
17318,32367
76835,70847
61344,14562
3258,3352
40116,5398
25192,6459
12562,175
38808,10126
54621,9781
36230,3103
31333,12137
26002,1560
26213,4438
4373,23149
3883,8382
4082,2892
4529,3093
67495,22775
13578,9172
49799,74703
38855,31460
8957,16071
9659,18906
10244,22880
47549,8928
2366,15801
54761,9860
69328,27007
7651,33866
41918,4793
32483,71130
62166,15205
62366,19261
43646,5050
1860,27945
10577,9998
28968,2031
46092,64685
20654,5997
37420,3386
52012,8384
76670,68549
65670,19400
27363,1769
4350,8432
4083,29281
47850,6115
21799,5069
55848,10407
375,228
11626,602
50753,7828
40485,73087
15611,12546
42397,17669
1329,24285
43304,51757
595,18835
46865,10644
72367,37184
43075,11326
4510,38309
16608,10735
1825,8527
62034,15099
6671,5930
69038,26480
52728,8762
7011,21017
8735,1620
29186,15296
58476,12093
2247,29942
76119,62322
70919,31774
64860,18503
28051,19216
60183,13402
9754,19684
32386,2531
67863,51256
40870,10323
34487,2852
26150,1584
24190,42803
3806,38584
62195,15227
3608,38122
19908,16551
53225,8993
75699,58190
21018,10435
9247,8048
70323,29915
983,22008
61010,14037
9505,54069
41383,4714
9992,7572
3418,377
40504,6157
54584,9735
70501,30528
58020,11786
27618,11940
4675,801
58384,12012
28470,69836
11540,13475
73647,43114
76968,77332
28814,1999
71660,34295
59197,56439
54189,9562
35564,3025
28991,2039
21175,4978
39541,72907
44740,43903
6977,34
50468,7717
9448,11167
3987,4555
69518,5541
42626,9531
34604,39076
59445,12831
33177,3656
45037,5341
4350,7491
77165,74848
75181,53588
9561,9359
22459,19102
28933,2029
26539,13607
25968,1555
71508,33693
10201,2746
18105,18166
60124,13337
7084,49558
19191,3519
25742,8988
31099,7444
39609,14999
55380,10159
112,9287
3976,4554
23296,1188
55880,1552
66090,20214
1843,394
56057,10495
394,1009
46,6878
29208,3956
21926,13179
9244,36926
32305,22938
29528,29255
64048,19388
23116,16562
37208,23299
10997,16845
70613,30800
1774,11804
5390,33307
57860,11730
7169,44003
54987,10035
18199,498
21733,936
9383,5746
42491,4853
7681,14752
3596,3171
72761,38677
7467,36
55757,10333
18327,7265
24566,1357
70558,30670
45348,8545
4756,11496
44058,5136
44477,5226
48822,6366
498,17016
24351,17679
35772,18281
61851,15003
2424,9000
56244,10604
28145,42483
17743,6139
48439,31975
52649,8725
72227,36682
36864,3253
20352,3362
51843,8334
37872,3492
56316,10641
28460,9220
41640,4745
3840,1641
18815,8748
33741,5547
13396,11010
71647,34210
29547,2176
54185,9560
58254,8912
37475,4907
299,216
34903,2922
12076,12953
1751,2386
10536,5524
4808,63813
15097,17189
74604,48800
30221,19329
54713,9835
1837,394
35460,3009
71067,32286
30325,2334
71990,35553
31132,26733
65288,19024
37689,13319
54153,9542
74464,47908
5004,9675
63946,17238
59820,13130
58149,11841
6602,5074
65626,19354
64639,18281
55986,10469
15461,21804
30039,2267
39670,13937
49987,40883
26687,1648
28060,1874
6079,2628
22186,1017
45495,5457
19028,25201
16992,6133
22321,27638
6240,1756
37821,3482
10161,35289
12354,9229
54772,9875
62629,15721
63965,76284
15178,5600
16118,29854
31343,70779
4038,4991
1638,5107
63423,21370
5662,6144
19945,7968
1429,394
64070,17449
22473,26413
408,14982
12152,1486
12059,12481
35751,3043
1591,12424
5289,44780
3808,13261
14593,14725
74416,47695
69219,26766
8054,5398
17247,406
27255,50273
2339,1012
52914,36958
17418,13594
29852,4178
72024,63034
30949,2445
76840,70966
44124,12091
69552,28239
65249,19015
70007,28937
47303,5869
53534,25475
4541,18363
38788,21182
5310,5150
58733,15140
20040,65549
18558,23408
26932,1695
32164,4756
14772,231
49770,7338
416,17411
21612,61393
1716,394
76826,70700
71996,35572
58688,12255
47128,6866
39326,4127
24450,1346
38053,3564
39248,20667
16033,4174
71554,33853
6776,2358
65826,19629
74525,48265
63748,16975
18176,11913
47037,16032
66727,21421
62726,3451
46279,5618
66743,21439
74943,51757
63022,16190
24575,1358
14830,8730
11282,10474
32948,15817
5931,6839
25157,1440
68022,31417
33532,2774
1618,26332
23485,2322
9165,3401
54257,47912
4598,9229
10778,115
61135,14230
33255,2733
28215,5209
36753,72242
33589,33213
69588,27684
53506,38838
4711,14286
28881,32438
36770,31667
14639,15847
53410,43680
61401,14631
11975,217
4613,4697
32823,4522
10096,149
6519,26178
11019,26146
7545,40
31859,5899
58963,12556
34944,2930
37678,16927
7587,66
47509,38015
953,16969
48523,6264
75981,60819
67305,22425
70134,29277
26777,14105
50980,74844
10866,3596
7096,9168
69349,27036
15250,1217
23,5973
7632,9293
50880,7860
77358,77329
40962,4680
5280,7909
21934,11877
48559,13611
4524,3325
9319,53836
20321,768
3443,1557
64964,18720
76352,64866
59044,12671
64713,18386
6602,10289
76935,72002
9302,2839
30991,2455
8274,804
99,9310
34789,3747
42312,4837
36794,17211
18573,13184
19334,629
31258,2481
29364,2116
58756,12284
10307,4343
7842,31508
24931,1419
38995,16833
13346,7741
72954,39883
29678,2197
66718,4209
29157,16040
9598,12002
32307,11029
30715,13095
40733,35190
58161,11846
17573,12166
6374,31849
7912,50939
50508,7734
58437,12039
41466,4726
19177,602
72500,72499
9482,54030
73951,44535
15735,300
8336,12305
69085,26546
52233,8491
14867,243
46092,64685
67921,23694
73849,44045
70738,31234
38199,10156
76041,61595
24752,68325
31248,2478
72593,37960
5061,17143
28257,11546
2831,34265
3968,5835
602,2505
14048,4914
26198,28402
60222,13449
21643,22133
12169,58609
42318,4837
69119,26587
63797,2485
8252,12732
6870,1382
19416,8254
16208,6792
15950,4982
25852,1538
33426,2766
13933,4675
22269,1026
25128,1440
4850,13285
65310,19040
9681,1876
5816,19643
67673,23243
19335,46741
7066,34
69383,27093
46490,55648
42907,4909
66497,59687
23773,1270
55991,10470
42669,8233
56022,10485
2531,4755
23493,1219
5390,19503
381,405
23154,1145
73372,41691
20691,14987
71041,67118
37523,14566
30615,23694
74994,51989
42091,11737
2412,25337
36786,23039
5095,43866
64346,17795
34460,16114
45775,14307
34478,23208
11262,12667
28114,25485
30290,70445
56411,10696
4697,38846
67341,22537
205,5436
36345,3123
18960,8662
5577,4675
13004,7803
26378,42778
58514,35131
12353,171
8261,104
10582,13479
49855,7384
27288,1760
61690,14966
18403,33789
2176,3710
53668,9215
74867,51160
11249,34963
25845,1532
66291,20609
38350,17627
67074,21931
65221,40820
39008,3984
10,368
22144,4260
22413,1042
30645,12220
33202,9754
27027,69344
71296,33006
1926,13137
57083,11163
8058,21841
8540,30513
15160,12018
12747,283
4737,5080
57899,11747
73229,40934
25225,24541
30027,2266
5102,14315
24583,25715
3916,2481
26624,24250
8178,5299
6944,49421
22666,1085
47121,75807
16820,22563
64944,18679
25522,14714
30085,9357
1622,13538
22174,7965
49343,6873
7435,49910
24146,25832
60577,13715
30834,2424
69498,45541
72406,37307
25640,32855
12895,7728
2214,4886
58829,22563
8673,6811
15544,16814
40122,4438
53877,18297
73758,43716
6004,9885
65384,19080
57372,11330
13249,5375
149,11969
6033,18397
19035,14986
29815,2223
53152,26868
49109,6602
72429,37370
24970,14981
10185,4961
62876,15981
61346,14568
44342,5205
74446,74445
9585,9485
77154,74805
46265,32071
11610,6017
11729,15702
26800,1670
8393,7673
62947,55465
11473,398
33247,7109
62173,15214
20429,779
40553,4650
73844,44016
3026,11317
2307,239
39011,72809
62477,43316
24605,9439
46871,28564
22424,45342
1567,4772
50845,21627
21382,863
59815,13126
46146,5588
42017,4799
10734,4991
19285,25342
29234,40161
53349,9036
297,216
468,17845
74772,50363
76340,64691
48438,6241
301,216
42448,5349
33364,5198
61570,61571
36125,3091
60565,13709
38024,4998
10599,16554
7721,19164
26991,60662
46690,16770
46465,7045
20509,33991
20574,796
25940,10050
27776,15816
63697,63698
13635,13043
27569,1819
7705,5192
41483,12836
70206,29507
7654,7742
47017,5801
27243,5384
9688,5520
36143,15753
53845,15163
24909,10361
50996,7907
73490,42289
70595,30764
8187,282
1517,5053
60122,19912
33406,2762
6218,23550
22689,44827
71619,34139
56,8258
23526,15326
64821,6322
60135,13344
30071,2280
15510,55748
52181,8464
6127,18307
73009,40116
36116,4406
35384,2993
38470,4679
16559,12140
5026,5050
22446,8370
1815,4882
19260,4787
19230,615
40000,4387
4549,8299
3260,26347
14020,26092
19541,8633
30954,2449
69404,27109
34191,2816
74330,75921
16288,63106
1037,13173
52512,8657
59409,12828
5527,5471
66605,21084
3420,4726
3009,11436
27177,5755
2230,3806
16025,1704
39228,4100
57253,546
15398,6026
30807,2408
40116,73015
49572,7096
12191,4675
63873,17150
19343,11222
5673,46540
4321,9990
36031,4680
19339,5568
48035,14736
14282,4884
34916,34507
2591,16571
14474,225
12653,175
42856,4907
40915,4678
76590,67547
71764,34656
27444,17150
39322,4127
22953,11782
37352,11586
64673,18346
15585,10412
41995,4985
832,21030
48447,30406
2114,16278
76010,61202
