time,id1,id2,amount
2016-11-02 11:46:04,24767,36655,18.18
2016-11-02 11:42:14,65121,4773,16.18
2016-11-02 11:58:43,69434,27188,30.16
2016-11-02 12:01:05,66659,21235,15.26
2016-11-02 11:47:25,14143,14155,42.96
2016-11-02 09:51:54, 13501, 4837, 11.90
2016-11-02 11:35:08,344,1906,11.97
2016-11-02 11:38:50,17168,17355,17.53
2016-11-02 11:44:53,75915,28689,49.19
2016-11-02 09:59:08,21886,7462,18.8
2016-11-02 11:44:30,35212,2961,26.32
2016-11-02 11:45:38,33878,3225,26.51
2016-11-02 12:09:36,49097,8904,29.97
2016-11-02 11:33:13,5786,1386,44.06
2016-11-02 12:02:46,70218,30205,22.29
2016-11-02 11:44:39,47695,18815,22.68
2016-11-02 11:55:49,47606,29019,29.77
2016-11-02 12:02:34,16118,36732,31.41
2016-11-02 09:57:56,24518,40945,14.04
2016-11-02 12:08:53,53862,68,16.31
2016-11-02 12:00:02,54291,9493,15.71
2016-11-02 11:40:16,6388,6420,27.64
2016-11-02 11:35:37,71676,14886,3.61
2016-11-02 11:47:27,53883,9360,22.2
2016-11-02 12:10:03,18787,9410,18.45
2016-11-02 11:56:28,46886,59915,34.31
2016-11-02 12:05:08,1244,20635,26.53
2016-11-02 12:02:11,41614,4742,2.03
2016-11-02 11:31:02,66201,41595,37.2
2016-11-02 09:49:50, 8857, 9174, 6.39
2016-11-02 12:02:49,71991,71993,31.01
2016-11-02 09:52:34,2712,1120,20.71
2016-11-02 12:09:18,4745,13679,16.58
2016-11-02 12:09:53,71547,33850,37.37
2016-11-02 09:50:52, 4643, 72759, 32.40
2016-11-02 12:07:17,32678,2563,31.07
2016-11-02 11:54:49,17034,225,29.59
2016-11-02 11:28:49,74887,51382,28.31
2016-11-02 12:01:38,67967,14863,13.38
2016-11-02 12:06:18,33727,5827,8.8
2016-11-02 11:53:01,25024,25012,28.84
2016-11-02 12:05:42,78741,78809,20.95
2016-11-02 09:59:39,47121,43566,32.37
2016-11-02 09:57:13,2716,7427,20.22
2016-11-02 11:46:38,77393,68256,20.38
2016-11-02 09:49:49, 19161, 963, 23.30
2016-11-02 09:55:51,12290,4848,8.19
2016-11-02 11:55:54,52972,5039,21.83
2016-11-02 09:57:32,46253,5611,10.05
2016-11-02 12:01:28,50351,7673,24.94
2016-11-02 11:57:57,76298,76297,6.58
2016-11-02 09:57:17,69041,26480,26.26
2016-11-02 11:37:06,50028,14373,32.2
2016-11-02 11:38:55,24900,12087,33.15
2016-11-02 11:53:59,4044,274,28.07
2016-11-02 12:01:20,1185,884,16.84
2016-11-02 12:04:14,63990,408,28.87
2016-11-02 09:59:30,24786,5959,15.48
